"coexpression","coexpression_transferred","combined_score","cooccurence","database","database_transferred","experiments","experiments_transferred","fusion","homology","interaction","name","neighborhood","neighborhood_transferred","protein1","protein2","selected","shared interaction","shared name","textmining","textmining_transferred"
"254","0","274","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) SIGLEC9","0","0","9606.ENSP00000315474","9606.ENSP00000413861","false","interacts with","GIMAP7 (interacts with) SIGLEC9","0","67"
"0","0","210","0","0","0","0","0","0","0","interacts with","VDAC2 (interacts with) GIMAP7","0","0","9606.ENSP00000361635","9606.ENSP00000315474","false","interacts with","VDAC2 (interacts with) GIMAP7","181","75"
"155","0","154","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) SIGLEC9","0","0","9606.ENSP00000353099","9606.ENSP00000413861","false","interacts with","HLA-DRB1 (interacts with) SIGLEC9","0","0"
"283","0","300","0","0","0","0","58","0","0","interacts with","RIPK3 (interacts with) TAGAP","0","0","9606.ENSP00000216274","9606.ENSP00000356033","false","interacts with","RIPK3 (interacts with) TAGAP","0","47"
"327","0","327","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) SIGLEC9","0","0","9606.ENSP00000356033","9606.ENSP00000413861","false","interacts with","TAGAP (interacts with) SIGLEC9","0","0"
"262","0","262","0","0","0","0","0","0","0","interacts with","LGALS9 (interacts with) TAGAP","0","0","9606.ENSP00000378856","9606.ENSP00000356033","false","interacts with","LGALS9 (interacts with) TAGAP","0","0"
"65","0","161","0","0","0","0","0","0","0","interacts with","BST2 (interacts with) SIGLEC9","0","0","9606.ENSP00000252593","9606.ENSP00000413861","false","interacts with","BST2 (interacts with) SIGLEC9","0","140"
"0","0","195","0","0","0","0","0","0","0","interacts with","CD83 (interacts with) ISG15","0","0","9606.ENSP00000368450","9606.ENSP00000368699","false","interacts with","CD83 (interacts with) ISG15","195","0"
"303","62","318","0","0","0","0","0","0","0","interacts with","TNFAIP8L2 (interacts with) TAGAP","0","0","9606.ENSP00000357906","9606.ENSP00000356033","false","interacts with","TNFAIP8L2 (interacts with) TAGAP","0","0"
"154","108","213","0","0","0","0","0","0","0","interacts with","CD79B (interacts with) GIMAP7","0","0","9606.ENSP00000376544","9606.ENSP00000315474","false","interacts with","CD79B (interacts with) GIMAP7","0","0"
"254","0","274","0","0","0","0","0","0","0","interacts with","SIGLEC9 (interacts with) GIMAP7","0","0","9606.ENSP00000413861","9606.ENSP00000315474","false","interacts with","SIGLEC9 (interacts with) GIMAP7","0","67"
"263","0","263","0","0","0","0","0","0","0","interacts with","MS4A4A (interacts with) TAGAP","0","0","9606.ENSP00000338648","9606.ENSP00000356033","false","interacts with","MS4A4A (interacts with) TAGAP","0","0"
"333","54","342","0","0","0","0","0","0","0","interacts with","RASAL3 (interacts with) GIMAP7","0","0","9606.ENSP00000341905","9606.ENSP00000315474","false","interacts with","RASAL3 (interacts with) GIMAP7","0","0"
"169","62","187","0","0","0","0","0","0","0","interacts with","WAS (interacts with) GIMAP7","0","0","9606.ENSP00000365891","9606.ENSP00000315474","false","interacts with","WAS (interacts with) GIMAP7","0","0"
"0","0","390","0","0","0","0","0","0","0","interacts with","CLEC4A (interacts with) BST2","0","0","9606.ENSP00000229332","9606.ENSP00000252593","false","interacts with","CLEC4A (interacts with) BST2","390","0"
"210","0","214","0","0","0","0","0","0","0","interacts with","CX3CR1 (interacts with) GIMAP7","0","0","9606.ENSP00000351059","9606.ENSP00000315474","false","interacts with","CX3CR1 (interacts with) GIMAP7","46","0"
"70","0","345","0","0","0","0","0","0","0","interacts with","SIGLEC1 (interacts with) BST2","0","0","9606.ENSP00000341141","9606.ENSP00000252593","false","interacts with","SIGLEC1 (interacts with) BST2","325","0"
"329","0","720","0","0","0","0","0","0","0","interacts with","IL18RAP (interacts with) TAGAP","0","0","9606.ENSP00000264260","9606.ENSP00000356033","false","interacts with","IL18RAP (interacts with) TAGAP","601","0"
"300","53","321","0","0","0","0","0","0","0","interacts with","CD244 (interacts with) GIMAP7","0","0","9606.ENSP00000357012","9606.ENSP00000315474","false","interacts with","CD244 (interacts with) GIMAP7","0","58"
"251","0","250","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) MS4A6A","0","0","9606.ENSP00000356033","9606.ENSP00000392770","false","interacts with","TAGAP (interacts with) MS4A6A","0","0"
"142","63","531","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) MS4A6A","0","0","9606.ENSP00000353099","9606.ENSP00000392770","false","interacts with","HLA-DRB1 (interacts with) MS4A6A","464","0"
"123","52","184","0","0","0","0","0","0","0","interacts with","CXCL10 (interacts with) GIMAP7","0","0","9606.ENSP00000305651","9606.ENSP00000315474","false","interacts with","CXCL10 (interacts with) GIMAP7","0","98"
"329","63","344","0","0","0","0","0","0","0","interacts with","BCL2A1 (interacts with) TAGAP","0","0","9606.ENSP00000267953","9606.ENSP00000356033","false","interacts with","BCL2A1 (interacts with) TAGAP","0","0"
"270","0","270","0","0","0","0","0","0","0","interacts with","CD163 (interacts with) GIMAP7","0","0","9606.ENSP00000352071","9606.ENSP00000315474","false","interacts with","CD163 (interacts with) GIMAP7","0","0"
"0","0","372","0","0","0","0","0","0","0","interacts with","IL2 (interacts with) BST2","0","0","9606.ENSP00000226730","9606.ENSP00000252593","false","interacts with","IL2 (interacts with) BST2","372","0"
"213","79","272","0","0","0","0","0","0","0","interacts with","RAC2 (interacts with) TAGAP","0","0","9606.ENSP00000249071","9606.ENSP00000356033","false","interacts with","RAC2 (interacts with) TAGAP","75","43"
"304","0","371","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) MS4A6A","0","0","9606.ENSP00000315474","9606.ENSP00000392770","false","interacts with","GIMAP7 (interacts with) MS4A6A","134","0"
"333","0","333","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) CD300A","0","0","9606.ENSP00000315474","9606.ENSP00000353259","false","interacts with","GIMAP7 (interacts with) CD300A","0","0"
"182","0","181","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) ABI3","0","0","9606.ENSP00000356033","9606.ENSP00000225941","false","interacts with","TAGAP (interacts with) ABI3","0","0"
"138","0","157","0","0","0","0","0","0","0","interacts with","CD8B (interacts with) LCP1","0","0","9606.ENSP00000331172","9606.ENSP00000381581","false","interacts with","CD8B (interacts with) LCP1","0","63"
"0","0","266","0","0","0","0","185","0","0","interacts with","CSF1R (interacts with) ISG15","0","0","9606.ENSP00000286301","9606.ENSP00000368699","false","interacts with","CSF1R (interacts with) ISG15","137","0"
"300","0","408","0","0","0","0","0","0","0","interacts with","SLAMF1 (interacts with) TAGAP","0","0","9606.ENSP00000306190","9606.ENSP00000356033","false","interacts with","SLAMF1 (interacts with) TAGAP","123","114"
"152","0","151","0","0","0","0","0","0","0","interacts with","CD8B (interacts with) CD300A","0","0","9606.ENSP00000331172","9606.ENSP00000353259","false","interacts with","CD8B (interacts with) CD300A","0","0"
"183","0","280","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) ABI3","0","0","9606.ENSP00000353099","9606.ENSP00000225941","false","interacts with","HLA-DRB1 (interacts with) ABI3","155","0"
"214","62","231","0","0","0","0","0","0","0","interacts with","IKZF1 (interacts with) GIMAP7","0","0","9606.ENSP00000331614","9606.ENSP00000315474","false","interacts with","IKZF1 (interacts with) GIMAP7","0","0"
"214","0","214","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) PIK3R5","0","0","9606.ENSP00000315474","9606.ENSP00000392812","false","interacts with","GIMAP7 (interacts with) PIK3R5","0","0"
"0","0","278","0","0","0","0","0","0","0","interacts with","GPR183 (interacts with) BACH2","0","0","9606.ENSP00000365596","9606.ENSP00000257749","false","interacts with","GPR183 (interacts with) BACH2","269","53"
"259","0","258","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) ABI3","0","0","9606.ENSP00000315474","9606.ENSP00000225941","false","interacts with","GIMAP7 (interacts with) ABI3","0","0"
"152","0","151","0","0","0","0","0","0","0","interacts with","LCP1 (interacts with) GIMAP7","0","0","9606.ENSP00000381581","9606.ENSP00000315474","false","interacts with","LCP1 (interacts with) GIMAP7","0","0"
"332","0","332","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) PIK3R5","0","0","9606.ENSP00000356033","9606.ENSP00000392812","false","interacts with","TAGAP (interacts with) PIK3R5","0","0"
"280","134","350","0","0","0","0","0","0","0","interacts with","MYO1G (interacts with) TAGAP","0","0","9606.ENSP00000258787","9606.ENSP00000356033","false","interacts with","MYO1G (interacts with) TAGAP","0","42"
"152","0","151","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) GRAP2","0","0","9606.ENSP00000315474","9606.ENSP00000339186","false","interacts with","GIMAP7 (interacts with) GRAP2","0","0"
"270","0","329","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) PIK3R5","0","0","9606.ENSP00000353099","9606.ENSP00000392812","false","interacts with","HLA-DRB1 (interacts with) PIK3R5","54","107"
"0","63","246","0","0","0","0","137","0","0","interacts with","ISG15 (interacts with) LCP1","0","0","9606.ENSP00000368699","9606.ENSP00000381581","false","interacts with","ISG15 (interacts with) LCP1","95","92"
"98","0","216","0","0","0","0","0","0","0","interacts with","BST2 (interacts with) CD300A","0","0","9606.ENSP00000252593","9606.ENSP00000353259","false","interacts with","BST2 (interacts with) CD300A","167","0"
"434","106","472","0","0","0","0","0","0","0","interacts with","CSF2RB (interacts with) TAGAP","0","0","9606.ENSP00000384053","9606.ENSP00000356033","false","interacts with","CSF2RB (interacts with) TAGAP","0","0"
"77","66","906","0","900","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) GRAP2","0","0","9606.ENSP00000353099","9606.ENSP00000339186","false","interacts with","HLA-DRB1 (interacts with) GRAP2","0","0"
"194","0","194","0","0","0","0","0","0","0","interacts with","APOBR (interacts with) GIMAP7","0","0","9606.ENSP00000457539","9606.ENSP00000315474","false","interacts with","APOBR (interacts with) GIMAP7","0","0"
"152","0","151","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) LCP1","0","0","9606.ENSP00000315474","9606.ENSP00000381581","false","interacts with","GIMAP7 (interacts with) LCP1","0","0"
"332","64","528","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) LCP1","0","0","9606.ENSP00000356033","9606.ENSP00000381581","false","interacts with","TAGAP (interacts with) LCP1","108","254"
"158","108","216","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) GRAP2","0","0","9606.ENSP00000356033","9606.ENSP00000339186","false","interacts with","TAGAP (interacts with) GRAP2","0","0"
"312","0","311","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) DOK2","0","0","9606.ENSP00000356033","9606.ENSP00000276420","false","interacts with","TAGAP (interacts with) DOK2","0","0"
